article_id,n_clicks
160974,37213
272143,28943
336221,23851
234698,23499
123909,23122
336223,21855
96210,21577
162655,21062
183176,20303
168623,19526
331116,18788
158536,18646
64329,18618
199198,17221
272660,16175
235616,15443
233717,15390
336245,15046
336220,14752
156560,14417
289090,14261
124749,14252
160417,13826
293301,12745
95716,12740
59057,12699
20691,12584
129434,12344
199197,11715
123757,11602
233688,11084
235854,10815
159762,10700
336254,10627
166581,10536
31836,10500
124748,10109
289003,10078
293513,10061
111043,9993
123289,9986
235870,9908
59758,9833
119193,9809
161178,9687
124177,9576
234269,9435
277107,9373
133160,9298
288320,9232
293114,9225
277491,9203
235230,9123
300082,8976
202355,8961
300470,8725
293050,8565
271262,8552
124194,8521
156624,8332
234267,8257
284985,8191
257291,8119
128260,8080
313504,8009
277492,7968
336380,7941
276970,7914
156964,7841
284547,7768
207122,7757
313431,7718
48403,7695
354086,7603
161506,7510
218028,7468
124228,7271
233658,7219
338340,6958
198659,6903
284463,6849
63307,6680
31520,6639
156355,6448
175040,6444
288440,6439
272218,6380
64409,6374
124350,6248
283009,6176
160132,6010
96755,5967
237524,5965
161801,5923
157478,5888
119534,5828
284844,5760
315105,5722
141004,5702
16129,5686
156619,5685
271261,5640
58580,5539
348112,5517
199474,5456
324823,5365
166283,5360
285719,5338
225010,5286
337192,5252
202557,5178
288435,5147
225019,5132
156625,5131
160474,5129
160940,5114
225055,5055
70591,4945
284096,4885
87224,4885
235132,4876
215861,4849
123826,4782
285343,4648
214800,4642
124176,4620
182394,4589
123290,4574
95972,4541
236951,4539
119592,4493
96663,4467
39894,4445
337143,4438
158082,4350
236207,4346
285377,4333
284583,4332
161425,4302
123818,4301
283505,4276
276946,4253
140528,4216
338339,4184
206934,4145
283392,4140
313920,4138
29953,4055
236444,4053
236338,3966
338350,3941
313996,3911
32082,3866
215993,3832
111210,3796
206785,3792
352979,3784
235440,3782
285342,3746
307779,3743
158906,3730
214206,3728
208360,3715
224658,3712
225463,3670
83534,3660
270607,3660
284422,3635
348093,3629
237822,3627
124352,3531
236613,3490
236610,3489
36399,3466
129029,3451
284410,3425
336476,3414
233595,3402
245161,3395
162300,3394
108856,3385
303565,3374
209236,3368
286321,3349
57748,3340
70646,3331
214631,3325
157078,3316
58193,3311
202388,3301
207603,3293
36394,3268
36162,3228
218337,3173
208150,3129
285533,3097
207994,3094
289126,3081
129165,3077
50504,3076
293062,3074
270229,3073
159938,3068
337441,3045
156447,3017
286161,3010
206168,2993
87192,2991
25325,2972
128957,2966
140720,2963
159275,2947
271551,2942
108855,2931
286128,2922
172576,2912
299152,2899
233420,2898
234813,2898
352983,2897
284339,2880
336430,2875
218330,2874
158882,2854
32750,2851
157076,2841
337735,2840
65991,2830
235652,2823
220466,2822
58619,2810
285435,2808
156723,2800
198144,2791
57616,2788
160142,2757
59681,2748
284773,2737
70999,2736
285379,2725
224354,2708
214283,2702
87228,2691
236566,2677
284622,2652
293218,2639
233742,2638
160131,2634
50644,2622
57966,2618
331738,2614
194289,2608
214474,2604
30389,2598
156843,2588
236553,2585
206763,2582
235105,2548
301030,2539
158192,2539
336499,2525
277067,2506
282964,2502
159529,2502
71076,2499
270799,2493
157844,2482
299841,2465
235689,2457
288528,2441
198817,2434
50864,2426
283764,2403
240233,2402
58606,2401
285849,2373
202652,2351
95977,2344
187065,2333
161872,2316
198199,2312
234006,2311
158541,2308
87231,2305
233478,2275
272242,2267
166377,2258
68924,2252
71161,2246
158915,2245
303180,2240
202320,2238
208145,2224
199372,2218
58565,2217
70215,2203
9308,2202
42883,2191
285298,2186
289186,2179
159190,2171
181585,2164
158047,2163
202416,2159
206415,2158
208473,2151
242596,2150
202493,2146
285663,2145
215613,2138
74722,2119
206735,2115
348111,2114
208562,2090
288321,2087
162378,2066
62464,2062
303331,2047
123613,2036
214753,2034
237580,2018
352901,2018
159177,2013
160748,2011
207848,2006
225124,2002
202289,1998
207391,1996
97530,1994
284901,1994
157375,1994
235804,1986
233997,1983
62567,1968
87232,1943
87174,1936
208539,1927
336429,1922
255354,1912
235525,1903
352902,1893
243328,1893
160158,1866
203199,1865
283238,1849
161439,1846
161602,1838
202476,1834
327984,1833
254489,1818
209122,1814
286108,1812
182256,1804
62434,1798
124549,1792
160096,1791
124734,1788
32088,1768
299871,1747
202381,1747
162765,1723
38625,1722
205873,1707
157077,1702
97082,1695
209013,1685
299697,1684
108854,1682
87236,1682
277068,1680
36605,1675
156052,1663
207720,1655
297639,1649
205832,1626
157798,1617
156808,1606
206027,1582
207311,1562
300234,1551
158646,1549
205846,1542
207714,1537
237612,1534
71035,1533
47854,1528
270857,1527
206730,1526
42226,1523
42693,1510
68866,1500
159196,1497
96812,1497
315146,1494
118180,1476
208518,1471
284847,1467
203890,1458
50494,1456
285675,1453
215674,1443
47718,1416
337082,1415
235824,1410
348113,1409
16087,1400
207797,1393
202308,1383
133287,1376
343256,1362
236541,1359
120967,1355
157702,1348
118948,1346
87205,1344
87213,1344
118391,1339
338351,1338
128551,1325
208531,1325
156025,1312
285414,1310
206315,1307
161580,1304
83565,1302
283437,1301
162296,1300
205973,1300
97616,1296
202478,1289
277712,1287
64346,1286
160453,1286
70214,1280
208970,1276
128707,1274
58891,1270
288325,1269
208430,1268
203288,1267
75962,1264
313995,1251
211442,1244
70830,1244
87215,1243
209348,1239
207982,1239
166322,1236
348109,1234
42223,1230
58628,1230
162338,1223
283627,1218
214109,1216
156381,1213
211941,1213
202383,1212
119522,1212
315104,1212
208322,1205
285023,1204
96141,1202
137162,1200
208981,1192
166580,1189
202559,1189
63304,1187
156713,1180
236171,1179
285333,1178
29766,1175
182513,1174
30730,1162
314356,1162
50823,1162
96077,1150
70484,1145
207963,1143
208237,1141
235715,1137
161100,1135
190999,1135
159195,1132
124337,1131
285095,1131
84136,1130
234195,1128
286209,1125
235430,1118
156622,1118
206462,1118
202534,1117
50569,1117
202636,1114
42298,1112
96480,1110
353673,1110
233605,1108
283791,1106
108857,1105
337435,1102
62764,1084
195009,1083
50715,1072
158772,1070
70429,1068
336934,1067
211415,1061
168564,1060
42737,1060
261569,1054
236220,1053
353672,1053
205948,1051
123614,1045
284470,1043
123756,1033
250043,1029
157815,1027
84914,1024
202299,1023
235028,1022
161585,1018
198605,1016
156654,1014
59704,1014
323550,1010
205824,1010
357838,1008
161191,1006
168838,1003
205869,1003
236904,1003
236596,1002
70217,1001
214097,1000
96244,999
362914,992
199114,986
214476,986
73500,978
73506,972
206112,970
166129,962
158642,957
284474,952
70986,951
286350,948
271921,948
31068,945
114052,941
162596,941
129591,936
158114,917
31805,916
284452,916
198820,909
97433,909
285808,905
163505,905
283776,903
123698,900
157043,900
144879,898
87207,897
129799,897
284421,897
159473,895
199844,894
284312,892
160129,889
156279,886
159019,883
202672,879
273395,877
156543,877
235840,875
30760,874
209653,867
87188,867
119488,865
284471,862
202372,861
158461,860
57490,860
206938,858
284602,855
157300,847
123368,844
234424,837
297949,828
96947,828
158719,822
162718,820
156296,820
203241,818
87194,815
285813,813
202528,810
235287,809
140324,802
284066,801
284664,798
157332,797
205866,794
162817,793
145166,792
206571,792
158094,791
58837,790
87179,789
158794,787
96986,787
161858,785
58235,784
8497,784
156623,783
337651,779
118753,774
285648,772
96214,771
203293,770
202330,769
234987,764
225041,762
157252,759
308907,759
202729,759
160894,758
324329,756
96029,754
209294,754
209814,753
58333,752
166177,752
15653,750
166430,747
108858,743
84916,743
211732,742
96127,741
284666,738
206923,738
284491,737
