Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,PCA_ncomp,batch_size,learning_rate,max_sampled,model_type,n_epoch,n_factor,n_factors,pca_n_comp,thr_cb,thr_pop,top_k,mapatk
2023-11-08 18:11:33,3.0min,005be8c136c94292a82eccb92b73d004,popularity,LOCAL,src/popularity.py,lpradier,FINISHED,,,,,popularity,,,,,,,,0.029411304028294522
2023-11-07 17:07:51,3.0min,1710b37d56c04fc99a202a90b74bc9c1,popularity,LOCAL,src/popularity.py,lpradier,FINISHED,,,,,popularity,,,,,,,,0.028908937847821215
2023-11-30 16:13:42,3.6min,b1b80dc718524fbb8005a387b487203b,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,400,,,-1,12,,0.007059642099339682
2023-11-30 16:10:38,3.1min,decc8869ba284b9c81e7e3951bd5f30a,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,400,,,-1,6,,0.018494452626172782
2023-11-30 16:07:59,2.6min,d7efc5218638419cb47df8d706f8a8cd,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,400,,,-1,3,,0.03660438157204755
2023-11-30 16:05:38,2.4min,098ba3daf99b426dab1a30e69e718f55,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,400,,,-1,0,,0.08584100066587927
2023-11-30 16:02:40,3.0min,2901848fa15240fa9c1791285ccf3675,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,200,,,-1,12,,0.007284973108306104
2023-11-30 16:00:13,2.4min,cd151d720dd848cd9ba651bf3ec7550e,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,200,,,-1,6,,0.0186799523893617
2023-11-30 15:58:16,1.9min,a8c2c2f7c258420c96c6fded7204c3ac,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,200,,,-1,3,,0.03704950674709063
2023-11-30 15:56:44,1.5min,6325b1e5c0ba47d3b8bda13c7f35b3b2,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,200,,,-1,0,,0.08634221793424049
2023-11-30 15:54:02,2.7min,d72e841229904f719abc160f6328dc82,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,100,,,-1,12,,0.007100766760256997
2023-11-30 15:51:50,2.2min,af24b7fd5e08488c8b6470d1d0a1b556,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,100,,,-1,6,,0.018693649358665913
2023-11-30 15:50:12,1.6min,f30481a0a30b45af88512c2ea14e4675,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,100,,,-1,3,,0.037100845067227876
2023-11-30 15:49:00,1.2min,17dd4202aa0b47c5b61b1ff02e47490b,hybrid,LOCAL,src/hybrid.py,lpradier,FINISHED,,,0.01,,hybrid,200,100,,,-1,0,,0.08603560158925345
